Rossz,Szomszedos,Okt. 21--23.,Őszi szünet,Nov. 11--13.,Nov. 18--20.,Nov. 25--27.,Dec. 2--4.,Dec. 9--11.,Dec. 16--18.,Jan. 6--8.,Jan. 13--15.,Jan. 20--22.,Jan. 27--29.
1,1,,,Okapi,,Medve,,Mongúz,Beluga,,Ka,,Bébé
1,1,,,Okapi,,Medve,,Mongúz,,Beluga,Ka,,Bébé
1,1,,,Okapi,,Medve,,Mongúz,Bébé,,Ka,,Beluga
1,1,Bébé,,,Okapi,Medve,,Mongúz,,,Ka,,Beluga
1,1,Bébé,,,Okapi,,Medve,Mongúz,,,Ka,,Beluga
1,1,Bébé,,,Medve,,Okapi,Mongúz,,,Ka,,Beluga
1,1,,,Beluga,,Medve,,Mongúz,Okapi,,Ka,,Bébé
1,1,Bébé,,,Medve,,,Mongúz,Okapi,,Ka,,Beluga
1,1,Bébé,,,,Medve,,Mongúz,Okapi,,Ka,,Beluga
1,1,,,Bébé,,Medve,,Mongúz,Okapi,,Ka,,Beluga
1,2,,,Ka,Okapi,,Mongúz,Beluga,,,Medve,,Bébé
1,2,,,Ka,Okapi,,Mongúz,Medve,,Beluga,,,Bébé
1,2,,,Ka,Okapi,,Mongúz,,,Beluga,Medve,,Bébé
1,2,,,Ka,Okapi,,Mongúz,Bébé,,,Medve,,Beluga
1,2,,,Ka,,,Mongúz,Beluga,Okapi,,Medve,,Bébé
1,2,,,Ka,Medve,,Mongúz,,Okapi,Beluga,,,Bébé
1,2,,,Ka,,Medve,Mongúz,,Okapi,Beluga,,,Bébé
1,2,,,Ka,,,Mongúz,,Okapi,Beluga,Medve,,Bébé
1,2,,,Ka,,,Mongúz,Bébé,Okapi,,Medve,,Beluga
1,2,,,Ka,Medve,,Mongúz,Beluga,,,Okapi,,Bébé
1,2,,,Ka,,Medve,Mongúz,Beluga,,,Okapi,,Bébé
1,2,,,Ka,,,Mongúz,Medve,Beluga,,Okapi,,Bébé
1,2,,,Ka,Medve,,Mongúz,,,Beluga,Okapi,,Bébé
1,2,,,Ka,,Medve,Mongúz,,,Beluga,Okapi,,Bébé
1,2,,,Ka,,,Mongúz,Medve,,Beluga,Okapi,,Bébé
1,2,,,Ka,Bébé,,Mongúz,Medve,,,Okapi,,Beluga
1,2,,,Ka,Medve,,Mongúz,Bébé,,,Okapi,,Beluga
1,2,,,Ka,,Medve,Mongúz,Bébé,,,Okapi,,Beluga
1,2,,,Ka,,,Mongúz,Medve,Bébé,,Okapi,,Beluga
1,2,,,Ka,Bébé,,Mongúz,,Beluga,,Medve,Okapi,
1,2,,,Ka,Medve,,Mongúz,,Beluga,,,Okapi,Bébé
1,2,,,Ka,,Medve,Mongúz,,Beluga,,,Okapi,Bébé
1,2,,,Ka,,,Mongúz,,Beluga,,Medve,Okapi,Bébé
1,2,,,Ka,Bébé,,Mongúz,Medve,,Beluga,,Okapi,
1,2,,,Ka,Medve,,Mongúz,Bébé,,Beluga,,Okapi,
1,2,,,Ka,,Medve,Mongúz,Bébé,,Beluga,,Okapi,
1,2,,,Ka,Medve,,Mongúz,,Bébé,Beluga,,Okapi,
1,2,,,Ka,,Medve,Mongúz,,Bébé,Beluga,,Okapi,
1,2,,,Ka,Medve,,Mongúz,,,Beluga,,Okapi,Bébé
1,2,,,Ka,,Medve,Mongúz,,,Beluga,,Okapi,Bébé
1,2,,,Ka,,,Mongúz,Medve,,Beluga,,Okapi,Bébé
1,2,,,Ka,Medve,,Mongúz,,Bébé,,,Okapi,Beluga
1,2,,,Ka,,Medve,Mongúz,,Bébé,,,Okapi,Beluga
1,2,,,Ka,,,Mongúz,,Bébé,,Medve,Okapi,Beluga
1,2,,,Ka,Okapi,,Beluga,Mongúz,,,Medve,,Bébé
1,2,,,Ka,Okapi,,,Mongúz,Beluga,,Medve,,Bébé
1,2,,,Ka,Okapi,Medve,,Mongúz,,Beluga,,,Bébé
1,2,,,Ka,Okapi,,Medve,Mongúz,,Beluga,,,Bébé
1,2,,,Ka,Okapi,,,Mongúz,,Beluga,Medve,,Bébé
1,2,,,Ka,Okapi,,,Mongúz,Bébé,,Medve,,Beluga
1,2,,,Ka,,,Okapi,Mongúz,Beluga,,Medve,,Bébé
1,2,,,Ka,Medve,,Okapi,Mongúz,,Beluga,,,Bébé
1,2,,,Ka,,Medve,Okapi,Mongúz,,Beluga,,,Bébé
1,2,,,Ka,,,Okapi,Mongúz,,Beluga,Medve,,Bébé
1,2,,,Ka,Bébé,,Okapi,Mongúz,,,Medve,,Beluga
1,2,,,Ka,,,Okapi,Mongúz,Bébé,,Medve,,Beluga
1,2,,,Ka,,,Beluga,Mongúz,Okapi,,Medve,,Bébé
1,2,,,Ka,,Medve,,Mongúz,Okapi,Beluga,,,Bébé
1,2,,,Ka,Bébé,,,Mongúz,Okapi,,Medve,,Beluga
1,2,,,Ka,Medve,,Beluga,Mongúz,,,Okapi,,Bébé
1,2,,,Ka,,Medve,Beluga,Mongúz,,,Okapi,,Bébé
1,2,,,Ka,Medve,,,Mongúz,Beluga,,Okapi,,Bébé
1,2,,,Ka,,,Medve,Mongúz,Beluga,,Okapi,,Bébé
1,2,,,Ka,Medve,,,Mongúz,,Beluga,Okapi,,Bébé
1,2,,,Ka,,,Medve,Mongúz,,Beluga,Okapi,,Bébé
1,2,,,Ka,Bébé,Medve,,Mongúz,,,Okapi,,Beluga
1,2,,,Ka,Bébé,,Medve,Mongúz,,,Okapi,,Beluga
1,2,,,Ka,Medve,,,Mongúz,Bébé,,Okapi,,Beluga
1,2,,,Ka,,,Medve,Mongúz,Bébé,,Okapi,,Beluga
1,2,,,Ka,,Medve,,Mongúz,Beluga,,,Okapi,Bébé
1,2,,,Ka,Bébé,Medve,,Mongúz,,Beluga,,Okapi,
1,2,,,Ka,Bébé,,Medve,Mongúz,,Beluga,,Okapi,
1,2,,,Ka,,Medve,,Mongúz,Bébé,Beluga,,Okapi,
1,2,,,Ka,Medve,,,Mongúz,,Beluga,,Okapi,Bébé
1,2,,,Ka,,,Medve,Mongúz,,Beluga,,Okapi,Bébé
1,2,,,Ka,,Medve,,Mongúz,Bébé,,,Okapi,Beluga
1,2,,,,Okapi,,Mongúz,Beluga,Ka,,Medve,,Bébé
1,2,,,,Okapi,,Mongúz,,Ka,Beluga,Medve,,Bébé
1,2,,,,Okapi,,Mongúz,Bébé,Ka,,Medve,,Beluga
1,2,,,,Medve,,Mongúz,Beluga,Ka,,Okapi,,Bébé
1,2,,,,Medve,,Mongúz,,Ka,Beluga,Okapi,,Bébé
1,2,,,,Bébé,Medve,Mongúz,,Ka,,Okapi,,Beluga
1,2,,,,Bébé,,Mongúz,Medve,Ka,,Okapi,,Beluga
1,2,,,,Medve,,Mongúz,Bébé,Ka,,Okapi,,Beluga
1,2,,,,Medve,,Mongúz,,Ka,Beluga,,Okapi,Bébé
1,2,,,,Bébé,,Mongúz,,Ka,,Medve,Okapi,Beluga
1,2,,,,Okapi,,Beluga,Mongúz,Ka,,Medve,,Bébé
1,2,,,,Bébé,,Okapi,Mongúz,Ka,,Medve,,Beluga
1,2,,,,Medve,,Beluga,Mongúz,Ka,,Okapi,,Bébé
1,2,,,,Bébé,Medve,,Mongúz,Ka,,Okapi,,Beluga
1,2,,,,Bébé,,Medve,Mongúz,Ka,,Okapi,,Beluga
1,2,,,,Okapi,,Mongúz,Beluga,,Ka,Medve,,Bébé
1,2,,,,Okapi,,Mongúz,,Beluga,Ka,Medve,,Bébé
1,2,,,,Okapi,,Mongúz,Bébé,,Ka,Medve,,Beluga
1,2,,,,Okapi,,Mongúz,,Bébé,Ka,Medve,,Beluga
1,2,,,,Bébé,,Mongúz,,Okapi,Ka,Medve,,Beluga
1,2,,,,Medve,,Mongúz,Beluga,,Ka,Okapi,,Bébé
1,2,,,,Medve,,Mongúz,,Beluga,Ka,Okapi,,Bébé
1,2,,,,Bébé,,Mongúz,Medve,,Ka,Okapi,,Beluga
1,2,,,,Medve,,Mongúz,Bébé,,Ka,Okapi,,Beluga
1,2,,,,Medve,,Mongúz,,Bébé,Ka,Okapi,,Beluga
1,2,,,,Medve,,Mongúz,Beluga,,Ka,,Okapi,Bébé
1,2,,,,Medve,,Mongúz,,Beluga,Ka,,Okapi,Bébé
1,2,,,,Bébé,,Mongúz,Medve,,Ka,,Okapi,Beluga
1,2,,,,Medve,,Mongúz,Bébé,,Ka,,Okapi,Beluga
1,2,,,,Medve,,Mongúz,,Bébé,Ka,,Okapi,Beluga
1,2,,,,Okapi,,Beluga,Mongúz,,Ka,Medve,,Bébé
1,2,,,,Bébé,,Okapi,Mongúz,,Ka,Medve,,Beluga
1,2,,,,Medve,,Beluga,Mongúz,,Ka,Okapi,,Bébé
1,2,,,,Bébé,Medve,,Mongúz,,Ka,Okapi,,Beluga
1,2,,,,Bébé,,Medve,Mongúz,,Ka,Okapi,,Beluga
1,2,,,,Medve,,Beluga,Mongúz,,Ka,,Okapi,Bébé
1,2,,,,Bébé,Medve,,Mongúz,,Ka,,Okapi,Beluga
1,2,,,,Bébé,,Medve,Mongúz,,Ka,,Okapi,Beluga
1,2,,,Mongúz,Okapi,,Beluga,Medve,,,Ka,,Bébé
1,2,,,Mongúz,Okapi,Medve,,Beluga,,,Ka,,Bébé
1,2,,,Mongúz,Okapi,,Medve,Beluga,,,Ka,,Bébé
1,2,,,Mongúz,Okapi,Medve,,,Beluga,,Ka,,Bébé
1,2,,,Mongúz,Okapi,,,Medve,Beluga,,Ka,,Bébé
1,2,,,Mongúz,Okapi,,Medve,,,Beluga,Ka,,Bébé
1,2,,,Mongúz,Okapi,,,Medve,,Beluga,Ka,,Bébé
1,2,,,Mongúz,Okapi,Medve,,Bébé,,,Ka,,Beluga
1,2,,,Mongúz,Okapi,,Medve,Bébé,,,Ka,,Beluga
1,2,,,Mongúz,Okapi,Medve,,,Bébé,,Ka,,Beluga
1,2,,,Mongúz,Okapi,,,Medve,Bébé,,Ka,,Beluga
1,2,,,Mongúz,Medve,,Okapi,Beluga,,,Ka,,Bébé
1,2,,,Mongúz,,Medve,Okapi,Beluga,,,Ka,,Bébé
1,2,,,Mongúz,,,Okapi,Medve,Beluga,,Ka,,Bébé
1,2,,,Mongúz,Medve,,Okapi,,,Beluga,Ka,,Bébé
1,2,,,Mongúz,,Medve,Okapi,,,Beluga,Ka,,Bébé
1,2,,,Mongúz,,,Okapi,Medve,,Beluga,Ka,,Bébé
1,2,,,Mongúz,Bébé,,Okapi,Medve,,,Ka,,Beluga
1,2,,,Mongúz,Medve,,Okapi,Bébé,,,Ka,,Beluga
1,2,,,Mongúz,,Medve,Okapi,Bébé,,,Ka,,Beluga
1,2,,,Mongúz,,,Okapi,Medve,Bébé,,Ka,,Beluga
1,2,,,Mongúz,,,Beluga,Medve,Okapi,,Ka,,Bébé
1,2,,,Mongúz,Medve,,,Beluga,Okapi,,Ka,,Bébé
1,2,,,Mongúz,,,Medve,Beluga,Okapi,,Ka,,Bébé
1,2,,,Mongúz,,Medve,,,Okapi,Beluga,Ka,,Bébé
1,2,,,Mongúz,,,Medve,,Okapi,Beluga,Ka,,Bébé
1,2,,,Mongúz,Bébé,Medve,,,Okapi,,Ka,,Beluga
1,2,,,Mongúz,Bébé,,,Medve,Okapi,,Ka,,Beluga
1,2,,,Mongúz,Medve,,,Bébé,Okapi,,Ka,,Beluga
1,2,,,Mongúz,,,Medve,Bébé,Okapi,,Ka,,Beluga
1,2,,,Mongúz,Medve,,Beluga,,Bébé,,Ka,Okapi,
1,2,,,Mongúz,,Medve,Beluga,,Bébé,,Ka,Okapi,
1,2,,,Mongúz,,Medve,,Beluga,Bébé,,Ka,Okapi,
1,2,,,Mongúz,,Medve,,Beluga,,,Ka,Okapi,Bébé
1,2,,,Mongúz,Bébé,,Medve,,Beluga,,Ka,Okapi,
1,2,,,Mongúz,,Medve,,Bébé,Beluga,,Ka,Okapi,
1,2,,,Mongúz,,Medve,,,Beluga,,Ka,Okapi,Bébé
1,2,,,Mongúz,,,Medve,,Beluga,,Ka,Okapi,Bébé
1,2,,,Mongúz,,Medve,,Bébé,,Beluga,Ka,Okapi,
1,2,,,Mongúz,,Medve,,Bébé,,,Ka,Okapi,Beluga
1,2,,,Mongúz,,Medve,,,Bébé,,Ka,Okapi,Beluga
1,2,,,Mongúz,,,Medve,,Bébé,,Ka,Okapi,Beluga
1,2,,,,Okapi,Mongúz,Medve,,Beluga,,Ka,,Bébé
1,2,,,,Okapi,Mongúz,,Medve,Beluga,,Ka,,Bébé
1,2,,,,Okapi,Mongúz,,Medve,,Beluga,Ka,,Bébé
1,2,,,,Okapi,Mongúz,Medve,,Bébé,,Ka,,Beluga
1,2,,,,Okapi,Mongúz,,Medve,Bébé,,Ka,,Beluga
1,2,,,,Medve,Mongúz,Okapi,,Beluga,,Ka,,Bébé
1,2,,,,Medve,Mongúz,Okapi,,Bébé,,Ka,,Beluga
1,2,,,,Medve,Mongúz,Beluga,,Okapi,,Ka,,Bébé
1,2,,,,Medve,Mongúz,,Beluga,Okapi,,Ka,,Bébé
1,2,,,,Bébé,Mongúz,Medve,,Okapi,,Ka,,Beluga
1,2,,,,Bébé,Mongúz,,Medve,Okapi,,Ka,,Beluga
1,2,,,,Medve,Mongúz,,Bébé,Okapi,,Ka,,Beluga
1,2,,,Okapi,Medve,,Mongúz,Beluga,,,Ka,,Bébé
1,2,,,Okapi,,Medve,Mongúz,Beluga,,,Ka,,Bébé
1,2,,,Okapi,,,Mongúz,Medve,Beluga,,Ka,,Bébé
1,2,,,Okapi,Medve,,Mongúz,,,Beluga,Ka,,Bébé
1,2,,,Okapi,,Medve,Mongúz,,,Beluga,Ka,,Bébé
1,2,,,Okapi,,,Mongúz,Medve,,Beluga,Ka,,Bébé
1,2,,,Okapi,Bébé,,Mongúz,Medve,,,Ka,,Beluga
1,2,,,Okapi,Medve,,Mongúz,Bébé,,,Ka,,Beluga
1,2,,,Okapi,,Medve,Mongúz,Bébé,,,Ka,,Beluga
1,2,,,Okapi,,,Mongúz,Medve,Bébé,,Ka,,Beluga
1,2,,,Beluga,Okapi,,Mongúz,Medve,,,Ka,,Bébé
1,2,,,,Okapi,,Mongúz,Beluga,Bébé,,Ka,,Medve
1,2,,,Medve,Okapi,,Mongúz,Beluga,,,Ka,,Bébé
1,2,,,,Okapi,,Mongúz,Beluga,Medve,,Ka,,Bébé
1,2,Bébé,,,Okapi,Medve,Mongúz,,Beluga,,Ka,,
1,2,Bébé,,,Okapi,,Mongúz,Medve,Beluga,,Ka,,
1,2,,,,Okapi,,Mongúz,Bébé,Beluga,,Ka,,Medve
1,2,,,,Okapi,,Mongúz,,Beluga,,Ka,Medve,Bébé
1,2,Bébé,,,Okapi,,Mongúz,Medve,,Beluga,Ka,,
1,2,,,,Okapi,,Mongúz,Bébé,,Beluga,Ka,,Medve
1,2,,,,Okapi,,Mongúz,,Bébé,Beluga,Ka,,Medve
1,2,,,Medve,Okapi,,Mongúz,,,Beluga,Ka,,Bébé
1,2,,,,Okapi,,Mongúz,,Medve,Beluga,Ka,,Bébé
1,2,Bébé,,,Okapi,Medve,Mongúz,,,,Ka,,Beluga
1,2,,,Bébé,Okapi,,Mongúz,Medve,,,Ka,,Beluga
1,2,,,Medve,Okapi,,Mongúz,Bébé,,,Ka,,Beluga
1,2,,,,Okapi,,Mongúz,Bébé,Medve,,Ka,,Beluga
1,2,,,,Okapi,,Mongúz,,Bébé,,Ka,Medve,Beluga
1,2,,,,Okapi,,Mongúz,Medve,,Bébé,Ka,,Beluga
1,2,,,,Medve,Okapi,Mongúz,,Beluga,,Ka,,Bébé
1,2,,,,Medve,Okapi,Mongúz,,Bébé,,Ka,,Beluga
1,2,,,Beluga,,,Mongúz,Medve,Okapi,,Ka,,Bébé
1,2,,,,Beluga,Medve,Mongúz,,Okapi,,Ka,,Bébé
1,2,,,,Beluga,,Mongúz,Medve,Okapi,,Ka,,Bébé
1,2,,,,Medve,Beluga,Mongúz,,Okapi,,Ka,,Bébé
1,2,Bébé,,,Medve,,Mongúz,Beluga,Okapi,,Ka,,
1,2,,,,Bébé,,Mongúz,Beluga,Okapi,,Ka,,Medve
1,2,,,Medve,,,Mongúz,Beluga,Okapi,,Ka,,Bébé
1,2,Bébé,,,Medve,,Mongúz,,Okapi,Beluga,Ka,,
1,2,,,,Bébé,,Mongúz,,Okapi,Beluga,Ka,,Medve
1,2,,,Medve,,,Mongúz,,Okapi,Beluga,Ka,,Bébé
1,2,,,,Medve,,Mongúz,,Okapi,,Ka,Beluga,Bébé
1,2,Bébé,,,,,Mongúz,Medve,Okapi,,Ka,,Beluga
1,2,,,Bébé,,,Mongúz,Medve,Okapi,,Ka,,Beluga
1,2,,,,Bébé,,Mongúz,,Okapi,,Ka,Medve,Beluga
1,2,,,Medve,,,Mongúz,Bébé,Okapi,,Ka,,Beluga
1,2,,,,Medve,,Mongúz,,Okapi,Bébé,Ka,,Beluga
1,2,,,,Medve,,Mongúz,,Okapi,,Ka,Bébé,Beluga
1,2,,,Beluga,Medve,,Mongúz,,Bébé,,Ka,Okapi,
1,2,,,Beluga,,Medve,Mongúz,,Bébé,,Ka,Okapi,
1,2,Bébé,,,Medve,,Mongúz,Beluga,,,Ka,Okapi,
1,2,Bébé,,,,Medve,Mongúz,,Beluga,,Ka,Okapi,
1,2,,,Bébé,Medve,,Mongúz,,Beluga,,Ka,Okapi,
1,2,,,Bébé,,Medve,Mongúz,,Beluga,,Ka,Okapi,
1,2,,,Medve,Bébé,,Mongúz,,Beluga,,Ka,Okapi,
1,2,,,,Bébé,,Mongúz,,Beluga,,Ka,Okapi,Medve
1,2,,,Medve,,,Mongúz,,Beluga,,Ka,Okapi,Bébé
1,2,Bébé,,,Medve,,Mongúz,,,Beluga,Ka,Okapi,
1,2,Bébé,,,Medve,,Mongúz,,,,Ka,Okapi,Beluga
1,2,,,,Bébé,,Mongúz,,Medve,,Ka,Okapi,Beluga
1,2,,,Medve,,,Mongúz,,Bébé,,Ka,Okapi,Beluga
1,2,,,Okapi,Medve,,Beluga,Mongúz,,,Ka,,Bébé
1,2,,,Okapi,,Medve,Beluga,Mongúz,,,Ka,,Bébé
1,2,,,Okapi,Medve,,,Mongúz,Beluga,,Ka,,Bébé
1,2,,,Okapi,,,Medve,Mongúz,Beluga,,Ka,,Bébé
1,2,,,Okapi,Medve,,,Mongúz,,Beluga,Ka,,Bébé
1,2,,,Okapi,,,Medve,Mongúz,,Beluga,Ka,,Bébé
1,2,,,Okapi,Bébé,Medve,,Mongúz,,,Ka,,Beluga
1,2,,,Okapi,Bébé,,Medve,Mongúz,,,Ka,,Beluga
1,2,,,Okapi,Medve,,,Mongúz,Bébé,,Ka,,Beluga
1,2,,,Okapi,,,Medve,Mongúz,Bébé,,Ka,,Beluga
1,2,,,Beluga,Okapi,Medve,,Mongúz,,,Ka,,Bébé
1,2,,,Beluga,Okapi,,Medve,Mongúz,,,Ka,,Bébé
1,2,,,,Okapi,,Beluga,Mongúz,Bébé,,Ka,,Medve
1,2,,,Medve,Okapi,,Beluga,Mongúz,,,Ka,,Bébé
1,2,,,,Okapi,,Beluga,Mongúz,Medve,,Ka,,Bébé
1,2,Bébé,,,Okapi,Medve,,Mongúz,Beluga,,Ka,,
1,2,Bébé,,,Okapi,,Medve,Mongúz,Beluga,,Ka,,
1,2,,,Medve,Okapi,,,Mongúz,Beluga,,Ka,,Bébé
1,2,Bébé,,,Okapi,Medve,,Mongúz,,Beluga,Ka,,
1,2,Bébé,,,Okapi,,Medve,Mongúz,,Beluga,Ka,,
1,2,,,Medve,Okapi,,,Mongúz,,Beluga,Ka,,Bébé
1,2,,,Bébé,Okapi,Medve,,Mongúz,,,Ka,,Beluga
1,2,,,Bébé,Okapi,,Medve,Mongúz,,,Ka,,Beluga
1,2,,,Medve,Okapi,,,Mongúz,Bébé,,Ka,,Beluga
1,2,,,,Okapi,Medve,,Mongúz,,Bébé,Ka,,Beluga
1,2,,,,Okapi,,Medve,Mongúz,,Bébé,Ka,,Beluga
1,2,,,,Medve,Okapi,,Mongúz,Beluga,,Ka,,Bébé
1,2,,,,Medve,Okapi,,Mongúz,,Beluga,Ka,,Bébé
1,2,,,,Medve,Okapi,,Mongúz,Bébé,,Ka,,Beluga
1,2,,,Beluga,Medve,,Okapi,Mongúz,,,Ka,,Bébé
1,2,,,Beluga,,Medve,Okapi,Mongúz,,,Ka,,Bébé
1,2,Bébé,,,Medve,,Okapi,Mongúz,Beluga,,Ka,,
1,2,,,,Bébé,,Okapi,Mongúz,Beluga,,Ka,,Medve
1,2,,,Medve,,,Okapi,Mongúz,Beluga,,Ka,,Bébé
1,2,Bébé,,,Medve,,Okapi,Mongúz,,Beluga,Ka,,
1,2,,,,Bébé,,Okapi,Mongúz,,Beluga,Ka,,Medve
1,2,,,Medve,,,Okapi,Mongúz,,Beluga,Ka,,Bébé
1,2,Bébé,,,,Medve,Okapi,Mongúz,,,Ka,,Beluga
1,2,,,Bébé,Medve,,Okapi,Mongúz,,,Ka,,Beluga
1,2,,,Bébé,,Medve,Okapi,Mongúz,,,Ka,,Beluga
1,2,,,Medve,Bébé,,Okapi,Mongúz,,,Ka,,Beluga
1,2,,,,Bébé,,Okapi,Mongúz,Medve,,Ka,,Beluga
1,2,,,Medve,,,Okapi,Mongúz,Bébé,,Ka,,Beluga
1,2,,,,Medve,,Okapi,Mongúz,,Bébé,Ka,,Beluga
1,2,,,Beluga,Medve,,,Mongúz,Okapi,,Ka,,Bébé
1,2,,,Beluga,,,Medve,Mongúz,Okapi,,Ka,,Bébé
1,2,,,,Beluga,Medve,,Mongúz,Okapi,,Ka,,Bébé
1,2,,,,Beluga,,Medve,Mongúz,Okapi,,Ka,,Bébé
1,2,,,,Medve,Beluga,,Mongúz,Okapi,,Ka,,Bébé
1,2,Bébé,,,Medve,,Beluga,Mongúz,Okapi,,Ka,,
1,2,,,,Bébé,,Beluga,Mongúz,Okapi,,Ka,,Medve
1,2,,,Medve,,,Beluga,Mongúz,Okapi,,Ka,,Bébé
1,2,Bébé,,,,,Medve,Mongúz,Okapi,,Ka,,Beluga
1,2,,,Bébé,Medve,,,Mongúz,Okapi,,Ka,,Beluga
1,2,,,Bébé,,,Medve,Mongúz,Okapi,,Ka,,Beluga
1,2,,,Medve,Bébé,,,Mongúz,Okapi,,Ka,,Beluga
1,2,,,,Medve,,Bébé,Mongúz,Okapi,,Ka,,Beluga
1,2,,,Beluga,,Medve,,Mongúz,Bébé,,Ka,Okapi,
1,2,,,Beluga,,Medve,,Mongúz,,,Ka,Okapi,Bébé
1,2,Bébé,,,Medve,,Beluga,Mongúz,,,Ka,Okapi,
1,2,Bébé,,,Medve,,,Mongúz,Beluga,,Ka,Okapi,
1,2,Bébé,,,,Medve,,Mongúz,Beluga,,Ka,Okapi,
