Rossz,Szomszedos,Okt. 5--7.,Okt. 12--14.,Nov. 9--11.,Nov. 16--18.,Nov. 23--25.,Nov 30.-- Dec 2.,Dec. 7--9.,Dec. 14--16.,Dec. 21--23.,Jan. 4--6.,Jan. 11--13.,Jan. 18--20.,Jan. 25--27.
7,6,,Lemur,Mongúz,Bálna,,,Okapi,Zooey,,Franny,Bárány,Kb,Ka
7,6,,,Mongúz,Bálna,Okapi,,Lemur,Zooey,,Franny,Bárány,Kb,Ka
7,6,,,Mongúz,,Zooey,Ka,Okapi,Bálna,,Franny,Bárány,Lemur,Kb
7,6,,,Mongúz,Lemur,Zooey,,Okapi,Bálna,,Franny,Bárány,Kb,Ka
7,6,,,Mongúz,,Zooey,Okapi,Lemur,Bálna,,Franny,Bárány,Kb,Ka
7,6,,Lemur,Mongúz,,Zooey,Ka,Okapi,,,Franny,Bárány,Kb,Bálna
7,6,,Lemur,,Mongúz,Zooey,Ka,Okapi,,,Franny,Bárány,Kb,Bálna
7,6,,,Mongúz,,Zooey,Ka,Lemur,Okapi,,Franny,Bárány,Kb,Bálna
7,6,,,Mongúz,Lemur,Zooey,,Okapi,Ka,,Franny,Bárány,Kb,Bálna
7,6,,,Mongúz,,Zooey,Okapi,Lemur,Ka,,Franny,Bárány,Kb,Bálna
7,6,,,Mongúz,Lemur,Ka,,Okapi,Zooey,,Franny,Bárány,Kb,Bálna
7,6,,,Mongúz,,Ka,Okapi,Lemur,Zooey,,Franny,Bárány,Kb,Bálna
7,6,,,Mongúz,Lemur,,Ka,Okapi,Zooey,,Franny,Bárány,Kb,Bálna
7,6,,Lemur,Mongúz,Bálna,Zooey,Ka,Okapi,,,Franny,,Kb,Bárány
7,6,,,Mongúz,Bálna,Zooey,Ka,Lemur,Okapi,,Franny,,Kb,Bárány
7,6,,,Mongúz,Bálna,Zooey,Okapi,Lemur,Ka,,Franny,,Kb,Bárány
7,6,,,Mongúz,Bálna,Ka,Okapi,Lemur,Zooey,,Franny,,Kb,Bárány
7,6,,Lemur,Mongúz,,Zooey,Ka,Okapi,,,Franny,Bálna,Kb,Bárány
7,6,,Lemur,,Mongúz,Zooey,Ka,Okapi,,,Franny,Bálna,Kb,Bárány
7,6,,,Mongúz,,Zooey,Ka,Lemur,Okapi,,Franny,Bálna,Kb,Bárány
7,6,,,Mongúz,Lemur,Zooey,,Okapi,Ka,,Franny,Bálna,Kb,Bárány
7,6,,,Mongúz,,Zooey,Okapi,Lemur,Ka,,Franny,Bálna,Kb,Bárány
7,6,,,Mongúz,Lemur,Ka,,Okapi,Zooey,,Franny,Bálna,Kb,Bárány
7,6,,,Mongúz,,Ka,Okapi,Lemur,Zooey,,Franny,Bálna,Kb,Bárány
7,6,,,Mongúz,Lemur,,Ka,Okapi,Zooey,,Franny,Bálna,Kb,Bárány
7,7,,,Mongúz,Lemur,Zooey,Okapi,Bárány,,,Franny,Bálna,Kb,Ka
7,7,,,Mongúz,Bálna,Zooey,Ka,Okapi,,Kb,Franny,Bárány,Lemur,
7,7,,,,Bálna,Zooey,Ka,Okapi,,Kb,Franny,Bárány,Lemur,Mongúz
7,7,,,,Bálna,Zooey,Ka,Lemur,Okapi,,Franny,Bárány,Mongúz,Kb
7,7,,,Mongúz,Bálna,Zooey,Okapi,Ka,,,Franny,Bárány,Lemur,Kb
7,7,,,,Bálna,Zooey,Okapi,Lemur,Ka,,Franny,Bárány,Mongúz,Kb
7,7,,,,Bálna,Zooey,Mongúz,Okapi,Ka,,Franny,Bárány,Lemur,Kb
7,7,,,Mongúz,Bálna,Zooey,Okapi,Kb,,,Franny,Bárány,Lemur,Ka
7,7,,Lemur,Mongúz,Bálna,Zooey,Okapi,,,,Franny,Bárány,Kb,Ka
7,7,,,,Bálna,Zooey,Mongúz,Lemur,Okapi,,Franny,Bárány,Kb,Ka
7,7,,,,Bálna,Ka,Okapi,Lemur,Zooey,,Franny,Bárány,Mongúz,Kb
7,7,,,,Bálna,Ka,Mongúz,Okapi,Zooey,,Franny,Bárány,Lemur,Kb
7,7,,,Mongúz,Bálna,Kb,Ka,Okapi,Zooey,,Franny,Bárány,Lemur,
7,7,,,,Bálna,Kb,Ka,Okapi,Zooey,,Franny,Bárány,Lemur,Mongúz
7,7,,,Mongúz,Bálna,Okapi,Ka,Lemur,Zooey,,Franny,Bárány,Kb,
7,7,,,,Bálna,Okapi,Ka,Lemur,Zooey,,Franny,Bárány,Kb,Mongúz
7,7,,,Mongúz,Lemur,Zooey,Bálna,Okapi,,,Franny,Bárány,Kb,Ka
7,7,,,Mongúz,Lemur,Zooey,Ka,Okapi,Bálna,,Franny,Bárány,Kb,
7,7,,,,Lemur,Zooey,Ka,Okapi,Bálna,,Franny,Bárány,Kb,Mongúz
7,7,,,,Mongúz,Zooey,Ka,Okapi,Bálna,,Franny,Bárány,Lemur,Kb
7,7,,,,Mongúz,Zooey,Okapi,Lemur,Bálna,,Franny,Bárány,Kb,Ka
7,7,,,Mongúz,Ka,Zooey,Okapi,Lemur,,,Franny,Bárány,Kb,Bálna
7,7,,,Mongúz,Kb,Zooey,Ka,Okapi,,,Franny,Bárány,Lemur,Bálna
7,7,,,,Mongúz,Zooey,Ka,Lemur,Okapi,,Franny,Bárány,Kb,Bálna
7,7,,,,Mongúz,Zooey,Okapi,Lemur,Ka,,Franny,Bárány,Kb,Bálna
7,7,,,,Mongúz,Ka,Okapi,Lemur,Zooey,,Franny,Bárány,Kb,Bálna
7,7,,,Mongúz,Lemur,Zooey,Ka,Okapi,,,Franny,Bálna,Bárány,Kb
7,7,,,Mongúz,Bálna,Zooey,Okapi,Lemur,,,Franny,Ka,Kb,Bárány
7,7,,,Mongúz,Ka,Zooey,Okapi,Lemur,,,Franny,Bálna,Kb,Bárány
7,7,,,Mongúz,Kb,Zooey,Ka,Okapi,,,Franny,Bálna,Lemur,Bárány
7,7,,,,Mongúz,Zooey,Ka,Lemur,Okapi,,Franny,Bálna,Kb,Bárány
7,7,,,,Mongúz,Zooey,Okapi,Lemur,Ka,,Franny,Bálna,Kb,Bárány
7,7,,,,Mongúz,Ka,Okapi,Lemur,Zooey,,Franny,Bálna,Kb,Bárány
8,5,Bárány,,Mongúz,Bálna,Zooey,Ka,Okapi,,,Franny,,Lemur,Kb
8,5,Bárány,,Mongúz,Bálna,Zooey,Okapi,Lemur,,,Franny,,Kb,Ka
8,5,Bárány,,Mongúz,,Zooey,Ka,Okapi,,,Franny,Bálna,Lemur,Kb
8,5,Bárány,,Mongúz,Lemur,Zooey,,Okapi,,,Franny,Bálna,Kb,Ka
8,5,Bárány,,Mongúz,,Zooey,Okapi,Lemur,,,Franny,Bálna,Kb,Ka
8,5,,Lemur,,Bálna,Zooey,Ka,,Okapi,,Franny,Bárány,Kb,Mongúz
8,5,Okapi,,Mongúz,Bálna,Zooey,Ka,Lemur,,,Franny,Bárány,,Kb
8,5,,Lemur,,Bálna,Zooey,Okapi,,Ka,,Franny,Bárány,Kb,Mongúz
8,5,Okapi,,Mongúz,Bálna,Zooey,,Lemur,Ka,,Franny,Bárány,Kb,
8,5,Okapi,,,Bálna,Zooey,,Lemur,Ka,,Franny,Bárány,Kb,Mongúz
8,5,,Lemur,Mongúz,Bálna,Zooey,,Okapi,Ka,,Franny,Bárány,,Kb
8,5,,Lemur,,Bálna,Zooey,,Okapi,Ka,,Franny,Bárány,Mongúz,Kb
8,5,Okapi,,Mongúz,Bálna,Zooey,,Lemur,,,Franny,Bárány,Ka,Kb
8,5,,Lemur,,Bálna,Ka,Okapi,,Zooey,,Franny,Bárány,Kb,Mongúz
8,5,Okapi,,Mongúz,Bálna,Ka,,Lemur,Zooey,,Franny,Bárány,Kb,
8,5,Okapi,,,Bálna,Ka,,Lemur,Zooey,,Franny,Bárány,Kb,Mongúz
8,5,,Lemur,Mongúz,Bálna,Ka,,Okapi,Zooey,,Franny,Bárány,,Kb
8,5,,Lemur,,Bálna,Ka,,Okapi,Zooey,,Franny,Bárány,Mongúz,Kb
8,5,Okapi,,Mongúz,Bálna,,Ka,Lemur,Zooey,,Franny,Bárány,Kb,
8,5,Okapi,,,Bálna,,Ka,Lemur,Zooey,,Franny,Bárány,Kb,Mongúz
8,5,,Lemur,Mongúz,Bálna,,Ka,Okapi,Zooey,,Franny,Bárány,,Kb
8,5,,Lemur,,Bálna,,Ka,Okapi,Zooey,,Franny,Bárány,Mongúz,Kb
8,5,,Lemur,Mongúz,Bálna,,Okapi,,Zooey,,Franny,Bárány,Kb,Ka
8,5,,Lemur,,Bálna,,Mongúz,Okapi,Zooey,,Franny,Bárány,Kb,Ka
8,5,Okapi,,Mongúz,Bálna,,,Lemur,Zooey,,Franny,Bárány,Kb,Ka
8,5,,Lemur,Mongúz,,Zooey,,Okapi,Bálna,,Franny,Bárány,Kb,Ka
8,5,,Lemur,,Mongúz,Zooey,,Okapi,Bálna,,Franny,Bárány,Kb,Ka
8,5,Okapi,,Mongúz,,Zooey,Ka,Lemur,,,Franny,Bárány,Kb,Bálna
8,5,,Lemur,Mongúz,,Zooey,,Okapi,Ka,,Franny,Bárány,Kb,Bálna
8,5,,Lemur,,Mongúz,Zooey,,Okapi,Ka,,Franny,Bárány,Kb,Bálna
8,5,,Lemur,Mongúz,,Ka,,Okapi,Zooey,,Franny,Bárány,Kb,Bálna
8,5,,Lemur,,Mongúz,Ka,,Okapi,Zooey,,Franny,Bárány,Kb,Bálna
8,5,,Lemur,,Mongúz,,Ka,Okapi,Zooey,,Franny,Bárány,Kb,Bálna
8,5,Okapi,,Mongúz,Bálna,Zooey,Ka,Lemur,,,Franny,,Kb,Bárány
8,5,,Lemur,Mongúz,Bálna,Zooey,,Okapi,Ka,,Franny,,Kb,Bárány
8,5,,Lemur,Mongúz,Bálna,Ka,,Okapi,Zooey,,Franny,,Kb,Bárány
8,5,,Lemur,Mongúz,Bálna,,Ka,Okapi,Zooey,,Franny,,Kb,Bárány
8,5,Okapi,,Mongúz,,Zooey,Ka,Lemur,,,Franny,Bálna,Kb,Bárány
8,5,,Lemur,Mongúz,,Zooey,,Okapi,Ka,,Franny,Bálna,Kb,Bárány
8,5,,Lemur,,Mongúz,Zooey,,Okapi,Ka,,Franny,Bálna,Kb,Bárány
8,5,,Lemur,Mongúz,,Ka,,Okapi,Zooey,,Franny,Bálna,Kb,Bárány
8,5,,Lemur,,Mongúz,Ka,,Okapi,Zooey,,Franny,Bálna,Kb,Bárány
8,5,,Lemur,,Mongúz,,Ka,Okapi,Zooey,,Franny,Bálna,Kb,Bárány
8,6,Bárány,,Mongúz,Lemur,Zooey,Ka,Okapi,,,Franny,Bálna,Kb,
8,6,Bárány,,,Lemur,Zooey,Ka,Okapi,,,Franny,Bálna,Kb,Mongúz
8,6,Bárány,,,Mongúz,Zooey,Ka,Okapi,,,Franny,Bálna,Lemur,Kb
8,6,Bárány,,,Mongúz,Zooey,Okapi,Lemur,,,Franny,Bálna,Kb,Ka
8,6,,,Mongúz,Bálna,Zooey,Ka,Bárány,Okapi,,Franny,,Lemur,Kb
8,6,,,Mongúz,Bálna,Zooey,Okapi,Bárány,Ka,,Franny,,Lemur,Kb
8,6,,Lemur,Mongúz,Bálna,Zooey,Okapi,Bárány,,,Franny,,Kb,Ka
8,6,,,Mongúz,Bálna,Ka,Okapi,Bárány,Zooey,,Franny,,Lemur,Kb
8,6,,,Mongúz,,Zooey,Ka,Bárány,Okapi,,Franny,Bálna,Lemur,Kb
8,6,,,Mongúz,,Zooey,Okapi,Bárány,Ka,,Franny,Bálna,Lemur,Kb
8,6,,Lemur,Mongúz,,Zooey,Okapi,Bárány,,,Franny,Bálna,Kb,Ka
8,6,,Lemur,,Mongúz,Zooey,Okapi,Bárány,,,Franny,Bálna,Kb,Ka
8,6,,,Mongúz,Lemur,Zooey,,Bárány,Okapi,,Franny,Bálna,Kb,Ka
8,6,,,Mongúz,,Ka,Okapi,Bárány,Zooey,,Franny,Bálna,Lemur,Kb
8,6,,,Mongúz,Lemur,,Okapi,Bárány,Zooey,,Franny,Bálna,Kb,Ka
8,6,,,Mongúz,Bálna,Zooey,Ka,Okapi,Bárány,,Franny,,Lemur,Kb
8,6,,,Mongúz,Bálna,Zooey,Okapi,Lemur,Bárány,,Franny,,Kb,Ka
8,6,,,Mongúz,,Zooey,Ka,Okapi,Bárány,,Franny,Bálna,Lemur,Kb
8,6,,,Mongúz,Lemur,Zooey,,Okapi,Bárány,,Franny,Bálna,Kb,Ka
8,6,,,Mongúz,,Zooey,Okapi,Lemur,Bárány,,Franny,Bálna,Kb,Ka
8,6,,Ka,,Bálna,Zooey,Okapi,Lemur,,,Franny,Bárány,Kb,Mongúz
8,6,,Ka,Mongúz,Bálna,Zooey,,Okapi,,,Franny,Bárány,Lemur,Kb
8,6,,Lemur,Mongúz,Bálna,Zooey,Ka,,Okapi,,Franny,Bárány,Kb,
8,6,,,Mongúz,Bálna,Zooey,Ka,,Okapi,,Franny,Bárány,Kb,Lemur
8,6,Okapi,,,Bálna,Zooey,Ka,Lemur,,,Franny,Bárány,Mongúz,Kb
8,6,,Mongúz,,Bálna,Zooey,Ka,Okapi,,,Franny,Bárány,Lemur,Kb
8,6,Okapi,,Mongúz,Bálna,Zooey,Ka,,,,Franny,Bárány,Lemur,Kb
8,6,,Lemur,,Bálna,Zooey,Okapi,Ka,,,Franny,Bárány,Kb,Mongúz
8,6,,,Mongúz,Bálna,Zooey,,Ka,Okapi,,Franny,Bárány,Lemur,Kb
8,6,,Lemur,Mongúz,Bálna,Zooey,Okapi,,Ka,,Franny,Bárány,Kb,
8,6,,Lemur,,Bálna,Zooey,Mongúz,Okapi,Ka,,Franny,Bárány,Kb,
8,6,,,Mongúz,Bálna,Zooey,Okapi,,Ka,,Franny,Bárány,Kb,Lemur
8,6,,,Mongúz,Bálna,Zooey,,Okapi,,Ka,Franny,Bárány,Lemur,Kb
8,6,,Lemur,,Bálna,Zooey,Mongúz,Okapi,,,Franny,Bárány,Ka,Kb
8,6,,,Mongúz,Bálna,Zooey,,Kb,Okapi,,Franny,Bárány,Lemur,Ka
8,6,,,Mongúz,Bálna,Zooey,,Okapi,Kb,,Franny,Bárány,Lemur,Ka
8,6,,,Mongúz,Bálna,Zooey,Okapi,Lemur,,Kb,Franny,Bárány,,Ka
8,6,,Lemur,Mongúz,Bálna,Zooey,,,Okapi,,Franny,Bárány,Kb,Ka
8,6,,Mongúz,,Bálna,Zooey,Okapi,Lemur,,,Franny,Bárány,Kb,Ka
8,6,,,Mongúz,Bálna,Zooey,,Lemur,,Okapi,Franny,Bárány,Kb,Ka
8,6,Okapi,,,Bálna,Zooey,Mongúz,Lemur,,,Franny,Bárány,Kb,Ka
8,6,,Lemur,Mongúz,Bálna,Ka,Okapi,,Zooey,,Franny,Bárány,Kb,
8,6,,Lemur,,Bálna,Ka,Mongúz,Okapi,Zooey,,Franny,Bárány,Kb,
8,6,,,Mongúz,Bálna,Ka,Okapi,,Zooey,,Franny,Bárány,Kb,Lemur
8,6,,,Mongúz,Bálna,Okapi,Ka,Lemur,Zooey,,Franny,Bárány,,Kb
8,6,,,Mongúz,Bálna,Okapi,Ka,,Zooey,,Franny,Bárány,Lemur,Kb
8,6,,,Mongúz,Bálna,,Okapi,Ka,Zooey,,Franny,Bárány,Lemur,Kb
8,6,,Lemur,Mongúz,Bálna,,,Okapi,Zooey,,Franny,Bárány,Ka,Kb
8,6,,,Mongúz,Bálna,Okapi,,Lemur,Zooey,,Franny,Bárány,Ka,Kb
8,6,,,Mongúz,Bálna,Kb,Okapi,Lemur,Zooey,,Franny,Bárány,,Ka
8,6,,,Mongúz,Bálna,Kb,Okapi,,Zooey,,Franny,Bárány,Lemur,Ka
8,6,,,Mongúz,Bálna,,Okapi,Kb,Zooey,,Franny,Bárány,Lemur,Ka
8,6,,,Mongúz,,Zooey,Bálna,Okapi,Ka,,Franny,Bárány,Lemur,Kb
8,6,,Lemur,Mongúz,,Zooey,Bálna,Okapi,,,Franny,Bárány,Kb,Ka
8,6,,Lemur,,Mongúz,Zooey,Bálna,Okapi,,,Franny,Bárány,Kb,Ka
8,6,,,Mongúz,,Zooey,Bálna,Lemur,Okapi,,Franny,Bárány,Kb,Ka
8,6,,,Mongúz,,Ka,Bálna,Okapi,Zooey,,Franny,Bárány,Lemur,Kb
8,6,,,Mongúz,Lemur,,Bálna,Okapi,Zooey,,Franny,Bárány,Kb,Ka
8,6,,,Mongúz,Ka,Zooey,,Okapi,Bálna,,Franny,Bárány,Lemur,Kb
8,6,,Lemur,Mongúz,,Zooey,Ka,Okapi,Bálna,,Franny,Bárány,Kb,
8,6,,Lemur,,Mongúz,Zooey,Ka,Okapi,Bálna,,Franny,Bárány,Kb,
8,6,,Lemur,,,Zooey,Ka,Okapi,Bálna,,Franny,Bárány,Kb,Mongúz
8,6,,,Mongúz,,Zooey,Ka,Okapi,Bálna,,Franny,Bárány,Kb,Lemur
8,6,,,Mongúz,Lemur,Zooey,Ka,Okapi,Bálna,,Franny,Bárány,,Kb
8,6,,,Mongúz,Lemur,Zooey,,Okapi,Bálna,,Franny,Bárány,Ka,Kb
8,6,,,Mongúz,,Zooey,Okapi,Lemur,Bálna,,Franny,Bárány,Ka,Kb
8,6,,,Mongúz,Kb,Zooey,,Okapi,Bálna,,Franny,Bárány,Lemur,Ka
8,6,,,Mongúz,Lemur,Zooey,Okapi,,Bálna,,Franny,Bárány,Kb,Ka
8,6,,Lemur,Mongúz,Ka,Zooey,,Okapi,,,Franny,Bárány,Kb,Bálna
8,6,,,Mongúz,Ka,Zooey,,Lemur,Okapi,,Franny,Bárány,Kb,Bálna
8,6,,,Mongúz,,Zooey,Ka,Okapi,,Kb,Franny,Bárány,Lemur,Bálna
8,6,,,Mongúz,Lemur,Zooey,Ka,,Okapi,,Franny,Bárány,Kb,Bálna
8,6,Okapi,,,Mongúz,Zooey,Ka,Lemur,,,Franny,Bárány,Kb,Bálna
8,6,,,Mongúz,Kb,Zooey,,Okapi,Ka,,Franny,Bárány,Lemur,Bálna
8,6,,,Mongúz,Lemur,Zooey,Okapi,,Ka,,Franny,Bárány,Kb,Bálna
8,6,,,Mongúz,Ka,,Okapi,Lemur,Zooey,,Franny,Bárány,Kb,Bálna
8,6,,,Mongúz,Kb,Ka,,Okapi,Zooey,,Franny,Bárány,Lemur,Bálna
8,6,,,Mongúz,Lemur,Ka,Okapi,,Zooey,,Franny,Bárány,Kb,Bálna
8,6,,,Mongúz,Kb,,Ka,Okapi,Zooey,,Franny,Bárány,Lemur,Bálna
8,6,,,Mongúz,,Kb,Ka,Okapi,Zooey,,Franny,Bárány,Lemur,Bálna
8,6,,Lemur,Mongúz,,,Ka,Okapi,Zooey,,Franny,Bárány,Kb,Bálna
8,6,,,Mongúz,,Okapi,Ka,Lemur,Zooey,,Franny,Bárány,Kb,Bálna
8,6,,Lemur,Mongúz,Bálna,Zooey,Ka,Okapi,,,Franny,,Bárány,Kb
8,6,,,Mongúz,Bálna,Zooey,Ka,Lemur,Okapi,,Franny,,Bárány,Kb
8,6,,,Mongúz,Bálna,Zooey,Okapi,Lemur,Ka,,Franny,,Bárány,Kb
8,6,,,Mongúz,Bálna,Ka,Okapi,Lemur,Zooey,,Franny,,Bárány,Kb
8,6,,Lemur,Mongúz,,Zooey,Ka,Okapi,,,Franny,Bálna,Bárány,Kb
8,6,,Lemur,,Mongúz,Zooey,Ka,Okapi,,,Franny,Bálna,Bárány,Kb
8,6,,,Mongúz,,Zooey,Ka,Lemur,Okapi,,Franny,Bálna,Bárány,Kb
8,6,,,Mongúz,Lemur,Zooey,,Okapi,Ka,,Franny,Bálna,Bárány,Kb
8,6,,,Mongúz,,Zooey,Okapi,Lemur,Ka,,Franny,Bálna,Bárány,Kb
8,6,,,Mongúz,Lemur,Ka,,Okapi,Zooey,,Franny,Bálna,Bárány,Kb
8,6,,,Mongúz,,Ka,Okapi,Lemur,Zooey,,Franny,Bálna,Bárány,Kb
8,6,,,Mongúz,Lemur,,Ka,Okapi,Zooey,,Franny,Bálna,Bárány,Kb
8,6,,,Mongúz,Bálna,Zooey,Ka,Okapi,,Kb,Franny,,Lemur,Bárány
8,6,,Lemur,Mongúz,Bálna,Zooey,,Okapi,,,Franny,Ka,Kb,Bárány
8,6,,,Mongúz,Bálna,Zooey,,Lemur,Okapi,,Franny,Ka,Kb,Bárány
8,6,,,Mongúz,Bálna,Kb,Ka,Okapi,Zooey,,Franny,,Lemur,Bárány
8,6,,,Mongúz,Bálna,Okapi,Ka,Lemur,Zooey,,Franny,,Kb,Bárány
8,6,,,Mongúz,Bálna,,Okapi,Lemur,Zooey,,Franny,Ka,Kb,Bárány
8,6,,,Mongúz,Lemur,Zooey,Ka,Okapi,Bálna,,Franny,,Kb,Bárány
8,6,,Lemur,Mongúz,Ka,Zooey,,Okapi,,,Franny,Bálna,Kb,Bárány
8,6,,,Mongúz,Ka,Zooey,,Lemur,Okapi,,Franny,Bálna,Kb,Bárány
8,6,,,Mongúz,,Zooey,Ka,Okapi,,Kb,Franny,Bálna,Lemur,Bárány
8,6,,,Mongúz,Lemur,Zooey,Ka,,Okapi,,Franny,Bálna,Kb,Bárány
8,6,Okapi,,,Mongúz,Zooey,Ka,Lemur,,,Franny,Bálna,Kb,Bárány
8,6,,,Mongúz,Kb,Zooey,,Okapi,Ka,,Franny,Bálna,Lemur,Bárány
8,6,,,Mongúz,Lemur,Zooey,Okapi,,Ka,,Franny,Bálna,Kb,Bárány
8,6,,,Mongúz,Ka,,Okapi,Lemur,Zooey,,Franny,Bálna,Kb,Bárány
8,6,,,Mongúz,Kb,Ka,,Okapi,Zooey,,Franny,Bálna,Lemur,Bárány
8,6,,,Mongúz,Lemur,Ka,Okapi,,Zooey,,Franny,Bálna,Kb,Bárány
8,6,,,Mongúz,Kb,,Ka,Okapi,Zooey,,Franny,Bálna,Lemur,Bárány
8,6,,,Mongúz,,Kb,Ka,Okapi,Zooey,,Franny,Bálna,Lemur,Bárány
8,6,,Lemur,Mongúz,,,Ka,Okapi,Zooey,,Franny,Bálna,Kb,Bárány
8,6,,,Mongúz,,Okapi,Ka,Lemur,Zooey,,Franny,Bálna,Kb,Bárány
8,7,,,Mongúz,Bálna,Zooey,Okapi,Bárány,,,Franny,Ka,Lemur,Kb
8,7,,,Mongúz,Ka,Zooey,Okapi,Bárány,,,Franny,Bálna,Lemur,Kb
8,7,,,Mongúz,Lemur,Zooey,Ka,Bárány,Okapi,,Franny,Bálna,Kb,
8,7,,,,Lemur,Zooey,Ka,Bárány,Okapi,,Franny,Bálna,Kb,Mongúz
8,7,,,,Mongúz,Zooey,Ka,Bárány,Okapi,,Franny,Bálna,Lemur,Kb
8,7,,,Mongúz,Lemur,Zooey,Okapi,Bárány,Ka,,Franny,Bálna,Kb,
