Rossz,Szomszedos,Okt. 6--8.,Okt. 20--22.,Nov. 10--12.,Nov. 17--19.,Nov. 24--26.,Dec. 1--3.,Dec. 8--10.,Dec. 15--17.,Jan. 5--7.,Jan. 12--14.,Jan. 19--21.,Jan. 26--28.
1,4,,Lemur,Mongúz,,Beluga,,Zooey,,Franny,Bébé,Medve,Ka
1,4,,Lemur,Mongúz,,Beluga,,Zooey,Medve,Franny,,Bébé,Ka
1,4,Bébé,Lemur,Mongúz,,Medve,Beluga,Zooey,,Franny,,,Ka
1,4,Bébé,Lemur,Mongúz,,,Beluga,Zooey,,Franny,,Medve,Ka
1,4,,Lemur,Mongúz,,Medve,Beluga,Zooey,,Franny,Bébé,,Ka
1,4,,Lemur,,Mongúz,Bébé,Beluga,Zooey,,Franny,,Medve,Ka
1,4,,Lemur,,Mongúz,Medve,Beluga,Zooey,,Franny,,Bébé,Ka
1,4,,Lemur,,Beluga,Bébé,Mongúz,Zooey,,Franny,,Medve,Ka
1,4,,Lemur,,Beluga,Medve,Mongúz,Zooey,,Franny,,Bébé,Ka
1,4,,Lemur,,Beluga,Bébé,,Zooey,Mongúz,Franny,,Medve,Ka
1,4,,Lemur,,Beluga,Medve,,Zooey,Mongúz,Franny,,Bébé,Ka
1,4,Bébé,,Mongúz,Lemur,Medve,Beluga,Zooey,,Franny,,,Ka
1,4,,Bébé,,Lemur,Beluga,Mongúz,Zooey,,Franny,,Medve,Ka
1,4,,Bébé,,Lemur,Beluga,,Zooey,Mongúz,Franny,,Medve,Ka
1,4,,Bébé,,Lemur,,Beluga,Zooey,Mongúz,Franny,,Medve,Ka
1,4,,Bébé,,Lemur,Medve,Beluga,Zooey,,Franny,,Mongúz,Ka
1,4,Bébé,,Mongúz,Beluga,Medve,Lemur,Zooey,,Franny,,,Ka
1,4,,Bébé,,Mongúz,Beluga,Lemur,Zooey,,Franny,,Medve,Ka
1,4,,Bébé,,Beluga,,Lemur,Zooey,Mongúz,Franny,,Medve,Ka
1,4,,Bébé,,Beluga,Medve,Lemur,Zooey,,Franny,,Mongúz,Ka
1,4,,Bébé,Mongúz,,Beluga,,Zooey,Medve,Franny,,Lemur,Ka
1,4,,Bébé,,Mongúz,Medve,Beluga,Zooey,,Franny,,Lemur,Ka
1,4,,Bébé,,Beluga,Medve,Mongúz,Zooey,,Franny,,Lemur,Ka
1,4,,Bébé,,Beluga,Medve,,Zooey,Mongúz,Franny,,Lemur,Ka
1,4,,Bébé,,Lemur,Ka,Beluga,,Zooey,Franny,,Medve,Mongúz
1,4,,Bébé,,Beluga,Ka,Lemur,,Zooey,Franny,,Medve,Mongúz
1,4,,Lemur,,Beluga,Bébé,Ka,,Zooey,Franny,,Medve,Mongúz
1,4,,Lemur,,Beluga,Medve,Ka,,Zooey,Franny,,Bébé,Mongúz
1,4,,Bébé,,Lemur,Beluga,Ka,,Zooey,Franny,,Medve,Mongúz
1,4,,Bébé,,Beluga,Medve,Ka,,Zooey,Franny,,Lemur,Mongúz
1,4,,Lemur,Mongúz,,Bébé,Beluga,,Zooey,Franny,,Medve,Ka
1,4,,Lemur,Mongúz,,Medve,Beluga,,Zooey,Franny,,Bébé,Ka
1,4,,Bébé,Mongúz,Lemur,,Beluga,,Zooey,Franny,,Medve,Ka
1,4,,Bébé,Mongúz,Beluga,,Lemur,,Zooey,Franny,,Medve,Ka
1,4,,Bébé,Mongúz,,Beluga,Lemur,,Zooey,Franny,,Medve,Ka
1,4,,Bébé,Mongúz,,Medve,Beluga,,Zooey,Franny,,Lemur,Ka
1,4,,Lemur,,Beluga,Ka,Zooey,,Medve,Bébé,Franny,,Mongúz
1,4,,Lemur,,Beluga,Ka,Zooey,,Medve,,Franny,Bébé,Mongúz
1,4,,Bébé,,Beluga,Ka,Zooey,,Medve,,Franny,Lemur,Mongúz
1,4,,Lemur,,Beluga,Medve,Zooey,Ka,,Bébé,Franny,,Mongúz
1,4,,Lemur,,Beluga,,Zooey,Ka,,Bébé,Franny,Medve,Mongúz
1,4,,Lemur,Mongúz,Beluga,Bébé,Zooey,,Medve,,Franny,,Ka
1,4,,Lemur,Mongúz,Beluga,,Zooey,,Medve,Bébé,Franny,,Ka
1,4,,Lemur,Mongúz,Beluga,,Zooey,,Medve,,Franny,Bébé,Ka
1,4,,Lemur,Mongúz,,Beluga,Zooey,,Medve,Bébé,Franny,,Ka
1,4,,Lemur,Mongúz,,Beluga,Zooey,,Medve,,Franny,Bébé,Ka
1,4,,Lemur,,Beluga,Medve,Zooey,Mongúz,,Bébé,Franny,,Ka
1,4,,Lemur,,Beluga,,Zooey,Mongúz,,Bébé,Franny,Medve,Ka
1,4,,Lemur,,Beluga,Bébé,Zooey,,Mongúz,,Franny,Medve,Ka
1,4,,Lemur,,Beluga,Medve,Zooey,,Mongúz,Bébé,Franny,,Ka
1,4,,Lemur,,Beluga,,Zooey,,Mongúz,Bébé,Franny,Medve,Ka
1,4,,Lemur,,Beluga,Medve,Zooey,,Mongúz,,Franny,Bébé,Ka
1,4,,Bébé,Mongúz,Lemur,Beluga,Zooey,,Medve,,Franny,,Ka
1,4,,Bébé,,Lemur,Beluga,Zooey,,Mongúz,,Franny,Medve,Ka
1,4,,Bébé,Mongúz,Beluga,,Zooey,,Medve,,Franny,Lemur,Ka
1,4,,Bébé,Mongúz,,Beluga,Zooey,,Medve,,Franny,Lemur,Ka
1,4,,Bébé,,Beluga,Medve,Zooey,,Mongúz,,Franny,Lemur,Ka
1,4,,Lemur,Ka,Beluga,Medve,,Zooey,,Bébé,Franny,,Mongúz
1,4,,Lemur,Ka,,Beluga,,Zooey,,Bébé,Franny,Medve,Mongúz
1,4,,Lemur,Ka,,Medve,Beluga,Zooey,,Bébé,Franny,,Mongúz
1,4,,Lemur,Mongúz,Beluga,Ka,,Zooey,,Bébé,Franny,,Medve
1,4,,Lemur,Mongúz,,Ka,Beluga,Zooey,,Bébé,Franny,,Medve
1,4,,Lemur,Beluga,,Ka,,Zooey,,Bébé,Franny,Medve,Mongúz
1,4,Bébé,Lemur,,Beluga,Ka,,Zooey,,,Franny,Medve,Mongúz
1,4,,Lemur,,Beluga,Ka,,Zooey,Medve,Bébé,Franny,,Mongúz
1,4,,Lemur,,Beluga,Ka,,Zooey,Medve,,Franny,Bébé,Mongúz
1,4,,Lemur,,Beluga,Ka,,Zooey,,Medve,Franny,Bébé,Mongúz
1,4,,Bébé,,Lemur,Ka,Beluga,Zooey,Medve,,Franny,,Mongúz
1,4,,Bébé,,Lemur,Ka,Beluga,Zooey,,Medve,Franny,,Mongúz
1,4,,Bébé,,Lemur,Ka,,Zooey,,Beluga,Franny,Medve,Mongúz
1,4,,Bébé,,Beluga,Ka,Lemur,Zooey,Medve,,Franny,,Mongúz
1,4,,Bébé,,Beluga,Ka,Lemur,Zooey,,Medve,Franny,,Mongúz
1,4,,Bébé,,Beluga,Ka,,Zooey,Medve,,Franny,Lemur,Mongúz
1,4,,Bébé,,Beluga,Ka,,Zooey,,Medve,Franny,Lemur,Mongúz
1,4,,Lemur,Mongúz,Beluga,,Ka,Zooey,,Bébé,Franny,,Medve
1,4,,Lemur,Mongúz,,Beluga,Ka,Zooey,,Bébé,Franny,,Medve
1,4,,Lemur,Beluga,,Medve,Ka,Zooey,,Bébé,Franny,,Mongúz
1,4,Bébé,Lemur,,Beluga,Medve,Ka,Zooey,,,Franny,,Mongúz
1,4,Bébé,Lemur,,Beluga,,Ka,Zooey,,,Franny,Medve,Mongúz
1,4,,Lemur,,Beluga,Bébé,Ka,Zooey,Medve,,Franny,,Mongúz
1,4,,Lemur,,Beluga,Bébé,Ka,Zooey,,Medve,Franny,,Mongúz
1,4,,Lemur,,Beluga,,Ka,Zooey,Medve,Bébé,Franny,,Mongúz
1,4,,Lemur,,Beluga,,Ka,Zooey,Medve,,Franny,Bébé,Mongúz
1,4,,Lemur,,Beluga,,Ka,Zooey,,Medve,Franny,Bébé,Mongúz
1,4,,Bébé,,Lemur,Beluga,Ka,Zooey,Medve,,Franny,,Mongúz
1,4,,Bébé,,Lemur,Beluga,Ka,Zooey,,Medve,Franny,,Mongúz
1,4,,Bébé,,Lemur,Medve,Ka,Zooey,,Beluga,Franny,,Mongúz
1,4,,Bébé,,Lemur,,Ka,Zooey,,Beluga,Franny,Medve,Mongúz
1,4,,Bébé,,Beluga,,Ka,Zooey,Medve,,Franny,Lemur,Mongúz
1,4,,Bébé,,Beluga,,Ka,Zooey,,Medve,Franny,Lemur,Mongúz
1,4,Bébé,Lemur,Mongúz,Beluga,Medve,,Zooey,,,Franny,,Ka
1,4,,Lemur,Mongúz,Beluga,Bébé,,Zooey,Medve,,Franny,,Ka
1,4,,Lemur,Mongúz,Beluga,Bébé,,Zooey,,Medve,Franny,,Ka
1,4,Bébé,Lemur,Mongúz,,Beluga,,Zooey,,,Franny,Medve,Ka
1,4,,Lemur,Mongúz,,Beluga,,Zooey,Medve,Bébé,Franny,,Ka
1,4,,Lemur,Mongúz,,Beluga,,Zooey,Medve,,Franny,Bébé,Ka
1,4,,Lemur,Mongúz,,Beluga,,Zooey,,Medve,Franny,Bébé,Ka
1,4,Bébé,Lemur,Mongúz,,Medve,Beluga,Zooey,,,Franny,,Ka
1,4,,Lemur,Mongúz,,Bébé,Beluga,Zooey,Medve,,Franny,,Ka
1,4,,Lemur,Mongúz,,Bébé,Beluga,Zooey,,Medve,Franny,,Ka
1,4,,Lemur,Mongúz,,Bébé,,Zooey,,Beluga,Franny,Medve,Ka
1,4,,Lemur,Mongúz,,Medve,,Zooey,,Beluga,Franny,Bébé,Ka
1,4,,Lemur,,Mongúz,Beluga,,Zooey,,Bébé,Franny,Medve,Ka
1,4,,Lemur,,Mongúz,Medve,Beluga,Zooey,,Bébé,Franny,,Ka
1,4,,Lemur,,Mongúz,,Beluga,Zooey,,Bébé,Franny,Medve,Ka
1,4,,Lemur,,Beluga,Medve,Mongúz,Zooey,,Bébé,Franny,,Ka
1,4,,Lemur,,Beluga,,Mongúz,Zooey,,Bébé,Franny,Medve,Ka
